anime_id,title,genre,aired,episodes,members,score
1,Zombieland Saga: Revenge,"['Music', 'Comedy', 'Supernatural']",2020,12,168000,8.04
2,Yuukoku no Moriarty,"['Mystery', 'Historical', 'Psychological', 'Shounen']",2020,12,297935,8.13
3,Yesterday wo Utatte,"['Slice of Life', 'Drama', 'Romance', 'Seinen']",2020,12,263517,6.91
4,Yes ka No ka Hanbun ka,"['Drama', 'Shounen Ai']",2020,1,38555,7.12
5,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,"['Slice of Life', 'Comedy', 'Drama', 'Romance', 'School']",2020,12,572517,8.39
6,Wu Shan Wu Xing,"['Action', 'Fantasy', 'Historical', 'Martial Arts']",2020,3,38966,7.91
7,World Trigger 2,"['Action', 'Sci-Fi', 'Supernatural', 'School', 'Shounen']",2020,12,109697,8.09
8,Violet Evergarden Movie,"['Drama', 'Fantasy', 'Slice of Life']",2020,1,397710,8.96
9,Umibe no Etranger,"['Slice of Life', 'Romance', 'Shounen Ai']",2020,1,117000,7.94
10,Toaru Kagaku no Railgun T,"['Action', 'Sci-Fi', 'Super Power']",2020,25,188839,8.2
11,"Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita","['Comedy', 'Fantasy']",2020,12,273531,7
12,Shokugeki no Souma: Gou no Sara,"['Ecchi', 'School', 'Shounen']",2020,13,417925,7.33
13,Shironeko Project: Zero Chronicle,"['Action', 'Adventure', 'Magic', 'Fantasy']",2020,12,77340,5.33
14,Shirobako Movie,"['Comedy', 'Drama']",2020,1,42177,7.71
15,Shingeki no Kyojin The Final Season,"['Action', 'Military', 'Mystery', 'Super Power', 'Drama', 'Fantasy', 'Shounen']",2020,16,1481752,8.88
16,Seitokai Yakuindomo Movie 2,['Game'],2020,1,24141,7.78
17,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,"['Psychological', 'Drama', 'Thriller', 'Fantasy']",2020,13,892871,8.38
18,Princess Connect! Re:Dive,"['Action', 'Adventure', 'Fantasy']",2020,13,218618,7.04
19,Peter Grill to Kenja no Jikan,"['Harem', 'Comedy', 'Ecchi', 'Fantasy']",2020,12,153550,5.49
20,Pet,"['Romance', 'Ecchi']",2020,13,85231,6.45
21,Oshi ga Budoukan Ittekuretara Shinu,"['Demons', 'Kids']",2020,12,35299,7.43
22,"Omoi, Omoware, Furi, Furare","['Comedy', 'Ecchi']",2020,1,56259,7.32
23,Non Non Biyori Nonstop,"['Comedy', 'Seinen', 'Slice of Life']",2020,12,96270,8.41
24,No Guns Life 2nd Season,"['Action', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",2020,12,68480,7.06
25,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e ","['Comedy', 'Sports', 'Drama', 'Shounen']",2020,13,565259,7.37
26,Majutsushi Orphen Hagure Tabi,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Magic', 'Martial Arts']",2020,13,59125,5.81
27,Majo no Tabitabi,"['Action', 'Military', 'Sci-Fi', 'Music', 'Space', 'Romance', 'Mecha']",2020,12,305894,7.55
28,Listeners,"['Sci-Fi', 'Music']",2020,12,57294,5.37
29,Lapis Re:LiGHTs,['Music'],2020,12,37745,6.65
30,Kyokou Suiri,['Drama'],2020,12,351097,6.92
31,Kimetsu no Yaiba Movie: Mugen Ressha-hen,"['Action', 'Historical', 'Demons', 'Supernatural', 'Shounen']",2020,1,1038970,8.7
32,Kemono Jihen,"['Action', 'Mystery', 'Demons', 'Supernatural', 'Shounen']",2020,12,289922,7.43
33,Keishichou Tokumubu Tokushu Kyouakuhan Taisakushitsu Dainanaka: Tokunana OVA,"['Action', 'Military', 'Sci-Fi', 'Slice of Life', 'School']",2019,12,42629,6.05
34,"Kanojo, Okarishimasu","['Comedy', 'Romance', 'School', 'Shounen']",2020,12,746499,7.3
35,Kakushigoto (TV),"['Action', 'Comedy', 'Supernatural']",2020,12,272644,8
36,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,"['Comedy', 'Psychological', 'Romance', 'School', 'Seinen']",2019,12,1331567,8.4
37,Jujutsu Kaisen (TV),"['Action', 'Horror', 'Demons', 'Supernatural', 'School', 'Shounen']",2020,24,1710662,8.71
38,Josee to Tora to Sakana-tachi,"['Slice of Life', 'Drama', 'Romance']",2020,1,259369,8.51
39,Jibaku Shounen Hanako-kun,"['Comedy', 'Supernatural', 'School', 'Shounen']",2020,1,455242,7.84
40,Jashin-chan Dropkick',"['Comedy', 'Supernatural']",2020,12,88913,6.95
41,Jaku-Chara Tomozaki-kun,"['Harem', 'Drama', 'Romance', 'School']",2020,12,268490,7.16
42,Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,"['Comedy', 'Parody', 'Fantasy']",2020,12,394332,7.56
43,Ikebukuro West Gate Park,"['Mystery', 'Drama', 'Romance']",2020,12,96297,6.86
44,Heya Camp,"['Comedy', 'Supernatural', 'Romance', 'Ecchi']",2020,12,81367,7.28
45,Hataraku Saibou 2nd Season,"['Comedy', 'Shounen']",2021,8,222192,7.33
46,Haikyuu!!: To the Top 2nd Season,"['Comedy', 'Drama', 'School', 'Shounen', 'Sports']",2020,12,612012,8.54
47,Haikyuu!!: To the Top,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']",2020,12,730481,8.35
48,Infinite Dendrogram,"['Fantasy', 'Game']",2020,13,144718,6.17
49,"Hachi-nan tte, Sore wa Nai deshou!","['Action', 'Fantasy']",2020,12,179183,6.23
50,Kuutei Dragons,"['Adventure', 'Fantasy', 'Seinen']",2020,12,37775,7
51,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,"['Sci-Fi', 'Adventure', 'Mystery', 'Drama', 'Fantasy']",2020,1,306686,8.69
52,Maou-jou de Oyasumi,"['Slice of Life', 'Comedy', 'Supernatural', 'Magic', 'Fantasy', 'Shounen']",2020,12,160646,8.01
53,Monster Musume no Oishasan,"['Comedy', 'Romance', 'Ecchi', 'Fantasy']",2020,12,167202,6.52
54,Murenase! Seton Gakuen,"['Comedy', 'School']",2020,12,165429,7.01
55,Mushikago no Cagaster,"['Action', 'Sci-Fi', 'Drama']",2020,12,30250,6.49
56,number24,"['Sports', 'School']",2020,12,50560,6.73
57,Ore wo Suki nano wa Omae dake ka yo: Oretachi no Game Set,"['Comedy', 'Romance', 'School']",2020,1,98262,7.6
58,Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta...,"['Comedy', 'Drama', 'Romance', 'Fantasy', 'School']",2020,1,351752,7.49
59,Psycho-Pass 3 Movie: First Inspector,"['Action', 'Sci-Fi', 'Police', 'Psychological']",2020,1,70481,7.83
60,Rikei ga Koi ni Ochita no de Shoumei shitemita.,"['Comedy', 'Romance']",2020,12,249346,7.36
61,Runway de Waratte,"['Drama', 'School', 'Shounen', 'Slice of Life']",2020,12,106187,7.6
62,Yuru Camp 2nd Season,"['Slice of Life', 'Comedy']",2021,13,169659,8.54
63,Tensei shitara Slime Datta Ken 2nd Season,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Slice of Life']",2021,12,682890,8.41
64,Tensei shitara Slime Datta Ken 2nd Season Part 2,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Slice of Life']",2021,12,492197,8.31
65,Tian Guan Ci Fu,"['Action', 'Adventure', 'Historical', 'Supernatural', 'Drama']",2020,11,85307,8.39
66,Haikyuu!! Movie 1: Owari to Hajimari,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']",2015,1,31962,7.89
67,Gungrave,"['Action', 'Drama', 'Sci-Fi', 'Seinen', 'Super Power']",2003,26,137057,7.89
68,Goku Sayonara Zetsubou Sensei,"['Comedy', 'Parody', 'School', 'Shounen']",2008,3,51621,7.89
69,Code Geass: Hangyaku no Lelouch R2 Special Edition - Zero Requiem,"['Action', 'Military', 'Super Power', 'Mecha']",2009,1,34345,7.89
70,Yuru Yuriâªâª,"['Slice of Life', 'Comedy', 'School', 'Shoujo Ai']",2012,12,130757,7.9
71,Sword Art Online: Alicization - War of Underworld,"['Action', 'Game', 'Adventure', 'Romance', 'Fantasy']",2019,12,189943,7.9
72,Saint Oniisan (Movie),"['Comedy', 'Seinen', 'Slice of Life']",2013,1,56150,7.9
73,Mobile Suit Gundam 0080: War in the Pocket,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",1989,6,36514,7.9
74,Kara no Kyoukai 2: Satsujin Kousatsu (Zen),"['Action', 'Mystery', 'Supernatural', 'Romance', 'Thriller']",2007,1,164671,7.9
